,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
93,74,Temple,840,"4,788",5.7,40,42,399.0,108,888,"5,683",6.4,41,42,473.6,both,AAC,2-10,12,2013
94,102,Tennessee,804,"4,240",5.27,30,35,353.3,83,827,"5,021",6.07,43,46,418.4,both,SEC,5-7,12,2013
95,64,Texas,"1,005","5,313",5.29,43,46,408.7,68,966,"5,294",5.48,34,39,407.2,both,Big 12,8-5,13,2013
96,4,Texas A&M,954,"6,999",7.34,73,78,538.4,109,973,"6,185",6.36,54,55,475.8,both,SEC,9-4,13,2013
97,111,Texas State,771,"3,915",5.08,33,37,326.3,58,880,"4,760",5.41,38,41,396.7,both,Sun Belt,6-6,12,2013
98,8,Texas Tech,"1,136","6,643",5.85,54,57,511.0,84,"1,015","5,441",5.36,48,51,418.5,both,Big 12,8-5,13,2013
99,39,Toledo,843,"5,368",6.37,45,49,447.3,87,870,"5,061",5.82,44,45,421.8,both,MAC,7-5,12,2013
100,27,Troy,920,"5,559",6.04,51,54,463.3,112,869,"5,798",6.67,55,58,483.2,both,Sun Belt,6-6,12,2013
101,115,Tulane,870,"4,053",4.66,34,39,311.8,22,931,"4,577",4.92,30,33,352.1,both,C-USA,7-6,13,2013
102,100,Tulsa,912,"4,274",4.69,27,29,356.2,93,934,"5,155",5.52,46,52,429.6,both,C-USA,3-9,12,2013
103,78,UAB,808,"4,715",5.84,36,38,392.9,116,829,"5,974",7.21,67,71,497.8,both,C-USA,2-10,12,2013
104,40,UCF,875,"5,740",6.56,54,55,441.5,29,879,"4,706",5.35,34,36,362.0,both,AAC,12-1,13,2013
105,38,UCLA,956,"5,830",6.1,61,63,448.5,54,990,"5,032",5.08,35,37,387.1,both,Pac-12,10-3,13,2013
106,112,UConn,827,"3,823",4.62,28,31,318.6,51,836,"4,615",5.52,40,46,384.6,both,AAC,3-9,12,2013
107,98,ULM,860,"4,324",5.03,32,36,360.3,90,880,"5,122",5.82,41,46,426.8,both,Sun Belt,6-6,12,2013
108,60,UNLV,990,"5,348",5.4,52,52,411.4,97,981,"5,632",5.74,49,55,433.2,both,Mountain West,7-6,13,2013
109,103,UTEP,826,"4,175",5.05,31,34,347.9,107,756,"5,620",7.43,61,62,468.3,both,C-USA,2-10,12,2013
110,76,Utah,864,"4,759",5.51,41,43,396.6,60,887,"4,772",5.38,35,41,397.7,both,Pac-12,5-7,12,2013
111,59,Utah State,"1,073","5,761",5.37,51,56,411.5,12,"1,018","4,632",4.55,26,28,330.9,both,Mountain West,9-5,14,2013
112,93,Vanderbilt,880,"4,765",5.41,49,49,366.5,23,909,"4,612",5.07,37,40,354.8,both,SEC,9-4,13,2013
113,89,Virginia,995,"4,421",4.44,27,27,368.4,65,856,"4,843",5.66,47,51,403.6,both,ACC,2-10,12,2013
114,101,Virginia Tech,925,"4,628",5.0,33,35,356.0,4,810,"3,687",4.55,25,31,283.6,both,ACC,8-5,13,2013
115,118,Wake Forest,802,"3,488",4.35,25,28,290.7,32,878,"4,394",5.0,33,36,366.2,both,ACC,4-8,12,2013
116,13,Washington,"1,023","6,491",6.35,60,64,499.3,55,"1,015","5,051",4.98,35,37,388.5,both,Pac-12,9-4,13,2013
117,54,Washington State,999,"5,478",5.48,46,51,421.4,102,"1,006","5,954",5.92,48,52,458.0,both,Pac-12,6-7,13,2013
118,62,West Virginia,892,"4,932",5.53,34,38,411.0,101,920,"5,460",5.93,47,48,455.0,both,Big 12,4-8,12,2013
119,30,Western Ky.,875,"5,502",6.29,46,47,458.5,14,763,"4,070",5.33,34,37,339.2,both,Sun Belt,8-4,12,2013
120,110,Western Mich.,827,"3,926",4.75,22,23,327.2,85,865,"5,030",5.82,46,55,419.2,both,MAC,1-11,12,2013
121,18,Wisconsin,912,"6,251",6.85,57,59,480.8,7,839,"3,966",4.73,24,25,305.1,both,Big Ten,9-4,13,2013
122,22,Wyoming,922,"5,674",6.15,50,52,472.8,111,966,"5,784",5.99,59,60,482.0,both,Mountain West,5-7,12,2013
