,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
49,54,Louisville,900,"5,409",6.01,44,39,416.1,18,898,"4,326",4.82,34,39,332.8,both,ACC,8-5,13,2015
50,64,Marshall,967,"5,205",5.38,44,28,400.4,35,997,"4,680",4.69,27,28,360.0,both,C-USA,10-3,13,2015
51,87,Maryland,829,"4,500",5.43,35,53,375.0,90,906,"5,054",5.58,50,53,421.2,both,Big Ten,3-9,12,2015
52,65,Massachusetts,887,"4,797",5.41,33,45,399.8,103,947,"5,374",5.67,44,45,447.8,both,MAC,3-9,12,2015
53,19,Memphis,"1,028","6,330",6.16,59,46,486.9,77,960,"5,287",5.51,46,46,406.7,both,AAC,9-4,13,2015
54,68,Miami,873,"5,154",5.9,38,43,396.5,69,911,"5,263",5.78,41,43,404.8,both,FL ,8-5,13,2015
55,109,Miami,802,"4,058",5.06,25,48,338.2,68,863,"4,855",5.63,47,48,404.6,both,OH ,3-9,12,2015
56,69,Michigan,906,"5,147",5.68,48,24,395.9,4,818,"3,649",4.46,20,24,280.7,both,Big Ten,10-3,13,2015
57,73,Michigan State,992,"5,397",5.44,50,39,385.5,26,895,"4,898",5.47,36,39,349.9,both,Big Ten,12-2,14,2015
58,32,Middle Tenn.,"1,004","5,946",5.92,54,44,457.4,74,966,"5,273",5.46,41,44,405.6,both,C-USA,7-6,13,2015
59,103,Minnesota,873,"4,666",5.34,32,40,358.9,24,917,"4,497",4.9,36,40,345.9,both,Big Ten,6-7,13,2015
60,31,Mississippi State,927,"5,986",6.46,54,34,460.5,56,955,"5,085",5.32,32,34,391.2,both,SEC,9-4,13,2015
61,124,Missouri,770,"3,371",4.38,15,22,280.9,6,838,"3,624",4.32,21,22,302.0,both,SEC,5-7,12,2015
62,57,NC State,953,"5,367",5.63,56,43,412.8,29,828,"4,559",5.51,42,43,350.7,both,ACC,7-6,13,2015
63,66,NIU,"1,047","5,579",5.33,53,45,398.5,87,"1,131","5,857",5.18,42,45,418.4,both,MAC,8-6,14,2015
64,48,Navy,870,"5,527",6.35,62,36,425.2,40,839,"4,744",5.65,33,36,364.9,both,AAC,11-2,13,2015
65,34,Nebraska,954,"5,810",6.09,51,45,446.9,64,885,"5,205",5.88,43,45,400.4,both,Big Ten,6-7,13,2015
66,86,Nevada,887,"4,877",5.5,39,42,375.2,73,920,"5,270",5.73,38,42,405.4,both,Mountain West,7-6,13,2015
67,70,New Mexico,868,"5,046",5.81,48,45,388.2,97,932,"5,689",6.1,45,45,437.6,both,Mountain West,7-6,13,2015
68,42,New Mexico State,896,"5,200",5.8,42,71,433.3,124,923,"6,267",6.79,65,71,522.3,both,Sun Belt,3-9,12,2015
69,18,North Carolina,936,"6,817",7.28,71,44,486.9,95,"1,110","6,103",5.5,44,44,435.9,both,ACC,11-3,14,2015
70,117,North Texas,843,"3,841",4.56,19,66,320.1,119,904,"6,031",6.67,62,66,502.6,both,C-USA,1-11,12,2015
71,115,Northwestern,952,"4,252",4.47,24,30,327.1,13,915,"4,146",4.53,26,30,318.9,both,Big Ten,10-3,13,2015
72,27,Notre Dame,864,"6,063",7.02,54,40,466.4,45,870,"4,845",5.57,39,40,372.7,both,FBS Independent,10-3,13,2015
73,56,Ohio,950,"5,370",5.65,40,41,413.1,49,861,"4,910",5.7,38,41,377.7,both,MAC,8-5,13,2015
74,41,Ohio State,892,"5,643",6.33,58,24,434.1,9,899,"4,047",4.5,24,24,311.3,both,Big Ten,12-1,13,2015
75,7,Oklahoma,"1,013","6,893",6.8,70,34,530.2,39,989,"4,738",4.79,34,34,364.5,both,Big 12,11-2,13,2015
76,22,Oklahoma State,977,"6,240",6.39,60,51,480.0,99,"1,004","5,708",5.69,47,51,439.1,both,Big 12,10-3,13,2015
77,91,Old Dominion,834,"4,455",5.34,36,54,371.3,96,926,"5,247",5.67,52,54,437.3,both,C-USA,5-7,12,2015
78,10,Ole Miss,952,"6,731",7.07,64,33,517.8,54,"1,029","5,016",4.87,32,33,385.8,both,SEC,10-3,13,2015
79,5,Oregon,993,"6,997",7.05,67,62,538.2,116,"1,046","6,309",6.03,59,62,485.3,both,Pac-12,9-4,13,2015
80,110,Oregon State,789,"4,037",5.12,25,57,336.4,115,897,"5,778",6.44,54,57,481.5,both,Pac-12,2-10,12,2015
81,105,Penn State,829,"4,532",5.47,35,37,348.6,14,883,"4,218",4.78,33,37,324.5,both,Big Ten,7-6,13,2015
82,82,Pittsburgh,852,"4,907",5.76,40,38,377.5,37,829,"4,721",5.69,36,38,363.2,both,ACC,8-5,13,2015
83,95,Purdue,921,"4,423",4.8,40,57,368.6,110,897,"5,500",6.13,52,57,458.3,both,Big Ten,2-10,12,2015
84,62,Rice,906,"4,822",5.32,41,59,401.8,102,753,"5,369",7.13,57,59,447.4,both,C-USA,5-7,12,2015
85,84,Rutgers,806,"4,524",5.61,36,55,377.0,111,809,"5,544",6.85,55,55,462.0,both,Big Ten,4-8,12,2015
86,76,SMU,869,"4,594",5.29,42,75,382.8,118,853,"6,026",7.06,71,75,502.2,both,AAC,2-10,12,2015
87,85,San Diego State,927,"5,254",5.67,49,29,375.3,5,863,"4,022",4.66,28,29,287.3,both,Mountain West,11-3,14,2015
88,60,San Jose State,922,"5,260",5.7,45,46,404.6,34,832,"4,661",5.6,45,46,358.5,both,Mountain West,6-7,13,2015
89,101,South Alabama,833,"4,322",5.19,33,58,360.2,83,830,"4,992",6.01,53,58,416.0,both,Sun Belt,5-7,12,2015
90,99,South Carolina,774,"4,346",5.61,28,42,362.2,94,856,"5,158",6.03,41,42,429.8,both,SEC,3-9,12,2015
91,35,South Fla.,893,"5,741",6.43,54,35,441.6,52,944,"4,946",5.24,35,35,380.5,both,AAC,8-5,13,2015
92,38,Southern California,990,"6,131",6.19,56,44,437.9,65,984,"5,611",5.7,42,44,400.8,both,Pac-12,8-6,14,2015
93,12,Southern Miss.,"1,033","7,133",6.91,71,42,509.5,50,998,"5,313",5.32,39,42,379.5,both,C-USA,9-5,14,2015
94,40,Stanford,928,"6,097",6.57,63,36,435.5,43,926,"5,156",5.57,35,36,368.3,both,Pac-12,12-2,14,2015
95,118,Syracuse,751,"3,839",5.11,34,46,319.9,98,847,"5,262",6.21,42,46,438.5,both,ACC,4-8,12,2015
96,3,TCU,"1,078","7,317",6.79,65,45,562.8,63,"1,004","5,179",5.16,44,45,398.4,both,Big 12,11-2,13,2015
97,96,Temple,956,"5,134",5.37,45,31,366.7,20,937,"4,718",5.04,29,31,337.0,both,AAC,10-4,14,2015
98,52,Tennessee,988,"5,490",5.56,49,33,422.3,36,904,"4,706",5.21,30,33,362.0,both,SEC,9-4,13,2015
99,92,Texas,781,"4,449",5.7,36,46,370.8,106,965,"5,431",5.63,45,46,452.6,both,Big 12,5-7,12,2015
100,50,Texas A&M,987,"5,521",5.59,38,33,424.7,51,912,"4,940",5.42,29,33,380.0,both,SEC,8-5,13,2015
101,53,Texas State,901,"5,000",5.55,39,62,416.7,123,893,"6,262",7.01,59,62,521.8,both,Sun Belt,3-9,12,2015
102,2,Texas Tech,"1,084","7,533",6.95,73,77,579.5,126,"1,031","7,120",6.91,74,77,547.7,both,Big 12,7-6,13,2015
103,30,Toledo,903,"5,531",6.13,50,28,460.9,46,888,"4,498",5.07,26,28,374.8,both,MAC,10-2,12,2015
104,102,Troy,799,"4,319",5.41,35,43,359.9,57,895,"4,695",5.25,39,43,391.3,both,Sun Belt,4-8,12,2015
105,119,Tulane,800,"3,804",4.76,29,57,317.0,80,851,"4,947",5.81,49,57,412.3,both,AAC,3-9,12,2015
106,13,Tulsa,"1,083","6,596",6.09,58,66,507.4,125,"1,059","6,976",6.59,64,66,536.6,both,AAC,6-7,13,2015
107,127,UCF,781,"3,221",4.12,17,57,268.4,113,851,"5,569",6.54,55,57,464.1,both,AAC,0-12,12,2015
108,28,UCLA,969,"6,057",6.25,49,39,465.9,67,"1,044","5,222",5.0,35,39,401.7,both,Pac-12,8-5,13,2015
109,123,UConn,819,"4,034",4.93,24,29,310.3,33,887,"4,616",5.2,27,29,355.1,both,AAC,6-7,13,2015
110,122,ULM,902,"4,041",4.48,32,61,310.8,92,979,"5,496",5.61,56,61,422.8,both,Sun Belt,2-11,13,2015
111,59,UNLV,865,"4,861",5.62,41,53,405.1,109,881,"5,487",6.23,51,53,457.3,both,Mountain West,3-9,12,2015
112,107,UTEP,834,"4,107",4.92,26,51,342.3,93,753,"5,133",6.82,45,51,427.8,both,C-USA,5-7,12,2015
113,98,UTSA,870,"4,347",5.0,33,50,362.3,100,893,"5,329",5.97,43,50,444.1,both,C-USA,3-9,12,2015
114,97,Utah,923,"4,719",5.11,39,35,363.0,41,921,"4,768",5.18,33,35,366.8,both,Pac-12,10-3,13,2015
115,93,Utah State,884,"4,818",5.45,43,45,370.6,17,891,"4,322",4.85,43,45,332.5,both,Mountain West,6-7,13,2015
116,116,Vanderbilt,871,"3,918",4.5,20,26,326.5,28,814,"4,206",5.17,22,26,350.5,both,SEC,4-8,12,2015
117,75,Virginia,837,"4,596",5.49,34,45,383.0,79,793,"4,938",6.23,41,45,411.5,both,ACC,4-8,12,2015
118,74,Virginia Tech,939,"5,006",5.33,43,42,385.1,44,867,"4,808",5.55,40,42,369.8,both,ACC,7-6,13,2015
119,113,Wake Forest,834,"4,001",4.8,25,37,333.4,38,784,"4,365",5.57,33,37,363.8,both,ACC,3-9,12,2015
120,61,Washington,873,"5,240",6.0,44,28,403.1,31,933,"4,574",4.9,26,28,351.8,both,Pac-12,7-6,13,2015
121,25,Washington State,"1,032","6,105",5.92,49,45,469.6,84,938,"5,411",5.77,37,45,416.2,both,Pac-12,9-4,13,2015
122,23,West Virginia,"1,051","6,236",5.93,51,36,479.7,61,969,"5,154",5.32,33,36,396.5,both,Big 12,8-5,13,2015
123,9,Western Ky.,"1,019","7,369",7.23,80,48,526.4,72,997,"5,673",5.69,45,48,405.2,both,C-USA,12-2,14,2015
124,17,Western Mich.,930,"6,380",6.86,58,49,490.8,82,852,"5,378",6.31,48,49,413.7,both,MAC,8-5,13,2015
125,79,Wisconsin,931,"4,922",5.29,41,22,378.6,2,791,"3,491",4.41,20,22,268.5,both,Big Ten,10-3,13,2015
126,100,Wyoming,786,"4,328",5.51,32,53,360.7,91,791,"5,065",6.4,51,53,422.1,both,Mountain West,2-10,12,2015
